Sequence  | Length  | TermCode            | Uri                                                                   | Data
0         | 37      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[8u](n128,n2,n1,8u)               | 50 c5 f8 77 90 c7 44 24 04 55 00 00 00 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
1         | 37      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[16u](n128,n2,n1,16u)             | 50 c5 f8 77 90 c7 44 24 04 55 55 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
2         | 37      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[32u](n128,n2,n1,32u)             | 50 c5 f8 77 90 c7 44 24 04 55 55 55 55 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
3         | 41      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[64u](n128,n2,n1,64u)             | 50 c5 f8 77 90 48 b8 55 55 55 55 55 55 55 55 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
4         | 40      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[8u](n256,n2,n1,8u)               | 50 c5 f8 77 90 c7 44 24 04 55 00 00 00 48 8d 44 24 04 c4 e2 7d 78 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
5         | 40      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[16u](n256,n2,n1,16u)             | 50 c5 f8 77 90 c7 44 24 04 55 55 00 00 48 8d 44 24 04 c4 e2 7d 79 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
6         | 40      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[32u](n256,n2,n1,32u)             | 50 c5 f8 77 90 c7 44 24 04 55 55 55 55 48 8d 44 24 04 c4 e2 7d 58 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
7         | 44      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[64u](n256,n2,n1,64u)             | 50 c5 f8 77 90 48 b8 55 55 55 55 55 55 55 55 48 89 04 24 48 8d 04 24 c4 e2 7d 59 04 24 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
8         | 37      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[8u](n128,n2,n2,8u)               | 50 c5 f8 77 90 c7 44 24 04 33 00 00 00 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
9         | 37      | CTC_RET_INTR        | hex://intrinsics/VMask?veven#veven_g[16u](n128,n2,n2,16u)             | 50 c5 f8 77 90 c7 44 24 04 33 33 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
