Sequence  | Length  | Host                          | OpId                                                        | Address         | OpName        | OpSig                                                                           | Data
0         | 67      | intrinsics/dinxfp             | takemask_(v128x64f)                                         | 7ff7c85ac420h   | takemask      | int takemask(Vector128<double> src)                                             | c5 f8 77 66 90 c5 f9 10 01 c5 f9 50 c0 c3 cc cc 19 00 00 00 40 00 00 00 18 d1 7b c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fc 50 c0 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
1         | 35      | intrinsics/dinxfp             | takemask_(v256x32f)                                         | 7ff7c85ac440h   | takemask      | int takemask(Vector256<float> src)                                              | c5 f8 77 66 90 c5 fd 10 01 c5 fc 50 c0 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
2         | 35      | intrinsics/dinxfp             | takemask_(v256x64f)                                         | 7ff7c85ac470h   | takemask      | int takemask(Vector256<double> src)                                             | c5 f8 77 66 90 c5 fd 10 01 c5 fd 50 c0 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
3         | 39      | intrinsics/dinxfp             | vunpackhi_(v128x32f,v128x32f)                               | 7ff7c85ac4a0h   | vunpackhi     | Vector128<float> vunpackhi(Vector128<float> x, Vector128<float> y)              | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 15 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
4         | 39      | intrinsics/dinxfp             | vunpackhi_(v128x64f,v128x64f)                               | 7ff7c85ac4d0h   | vunpackhi     | Vector128<double> vunpackhi(Vector128<double> x, Vector128<double> y)           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 15 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
5         | 135     | intrinsics/dinxfp             | vunpackhi_(v256x32f,v256x32f)                               | 7ff7c85ac500h   | vunpackhi     | Vector256<float> vunpackhi(Vector256<float> x, Vector256<float> y)              | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 38 d3 7b c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 d3 7b c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 14 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
6         | 87      | intrinsics/dinxfp             | vunpackhi_(v256x64f,v256x64f)                               | 7ff7c85ac530h   | vunpackhi     | Vector256<double> vunpackhi(Vector256<double> x, Vector256<double> y)           | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 d3 7b c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 14 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
7         | 39      | intrinsics/dinxfp             | vunpacklo_(v128x32f,v128x32f)                               | 7ff7c85ac560h   | vunpacklo     | Vector128<float> vunpacklo(Vector128<float> x, Vector128<float> y)              | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 14 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
8         | 39      | intrinsics/dinxfp             | vunpacklo_(v128x64f,v128x64f)                               | 7ff7c85ac590h   | vunpacklo     | Vector128<double> vunpacklo(Vector128<double> x, Vector128<double> y)           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 14 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
9         | 135     | intrinsics/dinxfp             | vunpacklo_(v256x32f,v256x32f)                               | 7ff7c85ac5c0h   | vunpacklo     | Vector256<float> vunpacklo(Vector256<float> x, Vector256<float> y)              | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f8 d4 7b c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 50 d5 7b c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 54 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
10        | 87      | intrinsics/dinxfp             | vunpacklo_(v256x64f,v256x64f)                               | 7ff7c85ac5f0h   | vunpacklo     | Vector256<double> vunpacklo(Vector256<double> x, Vector256<double> y)           | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 50 d5 7b c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 54 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
11        | 39      | intrinsics/dinxfp             | vand_(v128x32f,v128x32f)                                    | 7ff7c85ac620h   | vand          | Vector128<float> vand(Vector128<float> x, Vector128<float> y)                   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 54 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
12        | 39      | intrinsics/dinxfp             | vand_(v128x64f,v128x64f)                                    | 7ff7c85ac650h   | vand          | Vector128<double> vand(Vector128<double> x, Vector128<double> y)                | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 54 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
13        | 135     | intrinsics/dinxfp             | vand_(v256x32f,v256x32f)                                    | 7ff7c85ac680h   | vand          | Vector256<float> vand(Vector256<float> x, Vector256<float> y)                   | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 58 d6 7b c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c8 d6 7b c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
