Sequence  | Address         | Length  | TermCode            | Uri                                                                                       | Data
0         | 7ff7c863b310h   | 12      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[8u](8u~ref,32i)                                               | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
1         | 7ff7c863b330h   | 12      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[8i](8i~ref,32i)                                               | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
2         | 7ff7c863b350h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek#seek_g[16u](16u~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
3         | 7ff7c863b370h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek#seek_g[16i](16i~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
4         | 7ff7c863b390h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek#seek_g[32u](32u~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
5         | 7ff7c863b3b0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek#seek_g[32i](32i~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
6         | 7ff7c863b3d0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek#seek_g[64u](64u~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
7         | 7ff7c863b3f0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek#seek_g[64i](64i~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
8         | 7ff7c863b410h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek#seek_g[32f](32f~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
9         | 7ff7c863b430h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek#seek_g[64f](64f~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
10        | 7ff7c863b450h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[8u](8u~in)                                              | 0f 1f 44 00 00 48 8b c1 c3
11        | 7ff7c863b470h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[8i](8i~in)                                              | 0f 1f 44 00 00 48 8b c1 c3
12        | 7ff7c863b490h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[16u](16u~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
13        | 7ff7c863b4b0h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[16i](16i~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
14        | 7ff7c863b4d0h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[32u](32u~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
15        | 7ff7c863b4f0h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[32i](32i~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
16        | 7ff7c863b510h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[64u](64u~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
17        | 7ff7c863b530h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[64i](64i~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
18        | 7ff7c863b550h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[32f](32f~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
19        | 7ff7c863b570h   | 9       | CTC_RET_Zx3         | hex://root/refs?mutable#mutable_g[64f](64f~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
20        | 7ff7c863b590h   | 12      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[8u](8u~in,32i)                                                | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
